occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,In_our_dataset,phylum,class,order,family,genus,species,composition,architecture,thickness,reinforcement,collection_name,collection_subset,collection_aka,lng,lat,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc,protected,formation,stratgroup,member,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,lithdescript2,lithology13,lithadj14,lithification15,minor_lithology16,fossilsfrom17,lithology28,lithadj29,lithification210,minor_lithology211,fossilsfrom212,environment,tectonic_setting,geology_comments,time_bins,primary_reference,created,modified
712670,occ,,,76459,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Osagean,,353.8,342.8,Ahr and Stanton,1996,25870,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Muleshoe Mound, Sacramento Mountains",,Reef 381,-105.933334,32.783333,gplates,101,mid,-65.29,-20.11,scotese,101,mid,-50.84,-15.55,seton,not computable using this model,,,,US,,Lake Valley,,,"Muleshoe Mound: 100 m high, 400-500 m wide. Crinoids, fenestrate bryozoans and ostracods are the most abundant organisms.",lime mudstone,,lithified,,,wackestone,,lithified,,,"Muleshoe Mound: 100 m high, 400-500 m wide. Crinoids, fenestrate bryozoans and ostracods are the most abundant organisms.",lime mudstone,,lithified,,,wackestone,,lithified,,,"reef, buildup or bioherm",,,Tournaisian,"W. A. Ahr and R. J. Stanton. 1996. Constituent composition of Early Mississippian carbonate buildups and their level-bottom equivalents, Sacramento Mountains, New Mexico. in P. Strogen, I. D. Somerville, G. L. Jones, eds., Recent advances in Lower Carboniferous geology. Geological Society Special Publication 107:83-95",21/11/2007 01:04,21/11/2007 03:04
679289,occ,,,73298,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Westphalian,,318.1,306.95,Amerom et al.,1970,24614,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Sama de Langreo-Mieres, Asturias",,Reef 3603,-5.683333,43.299999,gplates,304,mid,7.75,-10.48,scotese,304,mid,9.69,-7.09,seton,not computable using this model,,,,ES,,Sama,,,biostrome facies,"""limestone""",,lithified,,,,,,,,biostrome facies,"""limestone""",,lithified,,,,,,,,"reef, buildup or bioherm",,,Moscovian,"H. W. J. Amerom, M. J. M. Bless, and C. F. Winkler Prins. 1970. Some paleontological and stratigraphical aspects of the Upper Carboniferous Sama Formation (Asturias, Spain). Mededelingen Rijks Geologische Dienst, Nieuwe Serie 21:9-79",11/06/2007 05:48,11/06/2007 07:48
109685,occ,,,8308,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Ludfordian,,425.6,423,Antia,1981,570,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,Ludlow-Much Wenlock District #14,,,-2.633333,52.483334,gplates,315,mid,-49.65,-9.55,scotese,315,mid,-15.04,-21.24,seton,not computable using this model,,,,UK,,Overton,,,interbedded highly bioturbated calcareous siltstones in which most lamination destroyed by bioturbation. alternates with thin 'storm generated' siltstone and shell laminae. minor scour channels and slumping. occassional symmetric and asymmetric ripple laminae.,siltstone,"current ripples,wave ripples,bioturbation,shelly/skeletal",lithified,,,,,,,,interbedded highly bioturbated calcareous siltstones in which most lamination destroyed by bioturbation. alternates with thin 'storm generated' siltstone and shell laminae. minor scour channels and slumping. occassional symmetric and asymmetric ripple laminae.,siltstone,"current ripples,wave ripples,bioturbation,shelly/skeletal",lithified,,,,,,,,offshore,,,Ludfordian,"D. D. J. Antia. 1981. Faunas from the Upper Silurian (Upper Ludlovian) in the Ludlow-Much Wenlock District, England. Geological Journal 16:137-147",05/07/2000 14:14,05/07/2000 16:14
28644,occ,,,2185,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Boy Scout Camp, IU 15109-3000, Edwardsville Fm., Monroe Co., IN",,Interdistributary Mudstone Facies; equitable diversity community,-86.333336,39,gplates,101,mid,-50.61,-31.18,scotese,101,mid,-33.35,-18.31,seton,not computable using this model,,,,US,FED,Edwardsville,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,interdistributary bay,cratonic basin,This represents a subaqueous delta platform environment.  The interdistributary mudstone facies is interpreted to have been deposited on the lee side of carbonate bank on the delta platform.,Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",24/06/1999 08:20,05/07/1999 09:46
28991,occ,,,2191,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Boy Scout Camp, IU 15109-7000, Edwardsville Fm., Monroe Co., IN",,Interdistributary Mudstone Facies; equitable diversity community,-86.333336,39,gplates,101,mid,-50.61,-31.18,scotese,101,mid,-33.35,-18.31,seton,not computable using this model,,,,US,FED,Edwardsville,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,interdistributary bay,cratonic basin,This represents a subaqueous delta platform environment.  The interdistributary mudstone facies is interpreted to have been deposited on the lee side of carbonate bank on the delta platform.,Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",24/06/1999 09:56,05/07/1999 09:48
29465,occ,,,2202,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Boy Scout Camp, IU 15109-9000, Edwardsville Fm., Monroe Co., IN",,Interdistributary Mudstone Facies; equitable diversity community,-86.333336,39,gplates,101,mid,-50.61,-31.18,scotese,101,mid,-33.35,-18.31,seton,not computable using this model,,,,US,FED,Edwardsville,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,interdistributary bay,cratonic basin,This represents a subaqueous delta platform environment.  The interdistributary mudstone facies is interpreted to have been deposited on the lee side of a carbonate bank on the delta platform.,Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",25/06/1999 06:28,05/07/1999 09:33
29589,occ,,,2204,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Boy Scout Camp, IU 15109-11000, Edwardsville Fm., Monroe Co., IN",,Interdistributary Mudstone Facies; equitable diversity community,-86.333336,39,gplates,101,mid,-50.61,-31.18,scotese,101,mid,-33.35,-18.31,seton,not computable using this model,,,,US,FED,Edwardsville,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,interdistributary bay,cratonic basin,This represents a subaqueous delta platform environment.  The interdistributary mudstone facies is interpreted to have been deposited on the lee side of a carbonate bank on the delta platform.,Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",25/06/1999 06:51,05/07/1999 09:35
29780,occ,,,2208,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Boy Scout Camp, IU 15109 float, Edwardsville Fm., Monroe Co., IN",,Interdistributary Mudstone Facies; equitable diversity community,-86.333336,39,gplates,101,mid,-50.61,-31.18,scotese,101,mid,-33.35,-18.31,seton,not computable using this model,,,,US,FED,Edwardsville,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,,"""shale""","peloidal,gray",lithified,,,grainstone,,,,,interdistributary bay,cratonic basin,This represents a subaqueous delta platform environment.  The interdistributary mudstone facies is interpreted to have been deposited on the lee side of a carbonate bank on the delta platform.,Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",25/06/1999 07:43,05/07/1999 09:40
30954,occ,,,2250,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Allens Creek, IU 15114-8000, Edwardsville Fm., Monroe Co., IN",,Skeletal carbonate bank facies; monobathrid-disparid community,-86.5,39.039165,gplates,101,mid,-50.66,-31.05,scotese,101,mid,-33.44,-18.21,seton,not computable using this model,,,,US,,Edwardsville,,,,grainstone,"dunes,grading",lithified,,,siltstone,,,,,,grainstone,"dunes,grading",lithified,,,siltstone,,,,,"reef, buildup or bioherm",cratonic basin,"This is a carbonate bank located on a subaqueous delta platform.  Siltstone surrounds the bank, and can be found interspersed within the bank itself.",Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",29/06/1999 08:07,05/07/1999 09:53
31009,occ,,,2251,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Allens Creek, IU 15114-10000, Edwardsville Fm., Monroe Co., IN",,Skeletal carbonate bank facies; monobathrid-disparid community,-86.5,39.039165,gplates,101,mid,-50.66,-31.05,scotese,101,mid,-33.44,-18.21,seton,not computable using this model,,,,US,,Edwardsville,,,,grainstone,"dunes,grading",lithified,,,siltstone,,,,,,grainstone,"dunes,grading",lithified,,,siltstone,,,,,"reef, buildup or bioherm",cratonic basin,"This is a carbonate bank located on a subaqueous delta platform.  Siltstone surrounds the bank, and can be found interspersed within the bank itself.",Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",29/06/1999 08:22,05/07/1999 09:56
31089,occ,,,2252,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Allens Creek, IU 15114-12000, Edwardsville Fm., Monroe Co., IN",,Skeletal carbonate bank facies; monobathrid-disparid community,-86.5,39.039165,gplates,101,mid,-50.66,-31.05,scotese,101,mid,-33.44,-18.21,seton,not computable using this model,,,,US,,Edwardsville,,,,grainstone,"dunes,grading",lithified,,,siltstone,,,,,,grainstone,"dunes,grading",lithified,,,siltstone,,,,,"reef, buildup or bioherm",cratonic basin,"This is a carbonate bank located on a subaqueous delta platform.  Siltstone surrounds the bank, and can be found interspersed within the bank itself.",Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",29/06/1999 08:53,05/07/1999 09:58
31166,occ,,,2257,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Allens Creek, IU 15114-14000, Edwardsville Fm., Monroe Co., IN",,Skeletal carbonate bank facies; monobathrid-disparid community,-86.5,39.039165,gplates,101,mid,-50.66,-31.05,scotese,101,mid,-33.44,-18.21,seton,not computable using this model,,,,US,,Edwardsville,,,,grainstone,"dunes,grading",lithified,,,siltstone,,,,,,grainstone,"dunes,grading",lithified,,,siltstone,,,,,"reef, buildup or bioherm",cratonic basin,"This is a carbonate bank located on a subaqueous delta platform.  Siltstone surrounds the bank, and can be found interspersed within the bank itself.",Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",29/06/1999 09:11,05/07/1999 10:00
32248,occ,,,2442,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Allens Creek, IU 15113-3000, Edwardsville Fm., Monroe Co., IN",,Skeletal carbonate bank facies; monobathrid-disparid community,-86.5,39.039165,gplates,101,mid,-50.66,-31.05,scotese,101,mid,-33.44,-18.21,seton,not computable using this model,,,,US,,Edwardsville,,,,grainstone,"dunes,grading",lithified,,,sandstone,,,,,,grainstone,"dunes,grading",lithified,,,sandstone,,,,,delta plain,cratonic basin,This is a carbonate bank located on a subaqueous delta platform.  Siltstone surrounds the bank and can be found interspersed within the bank itself.,Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",05/07/1999 06:29,05/07/1999 10:05
32342,occ,,,2448,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,,345.3,345,Ausich,1978,55,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Allens Creek, IU 15122, Edwardsville Fm., Monroe Co., IN",,Skeletal carbonate bank facies; monobathrid-disparid community,-86.5,39.039165,gplates,101,mid,-50.66,-31.05,scotese,101,mid,-33.44,-18.21,seton,not computable using this model,,,,US,,Edwardsville,,,,grainstone,"dunes,grading",lithified,,,sandstone,,,,,,grainstone,"dunes,grading",lithified,,,sandstone,,,,,"reef, buildup or bioherm",cratonic basin,This is a carbonate bank located on a subaqueous delta platform.  Siltstone surrounds the bank and can be found interspersed within the bank itself.,Visean,"W. I. Ausich. 1978. Community Organization, Paleontology, and Sedimentology of the Lower Mississippian Borden Delta Platform (Edwardsville Formation, Southern Indiana). Unpublished Doctoral Dissertation, Indiana University",05/07/1999 07:04,05/07/1999 10:08
430002,occ,,,42028,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Kinderhookian,,358.9,353.8,Ausich,2003,11205,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,Sataquin Pole Canyon,,Sataquin Pole Canyon crinoid fauna,-111.75,38.900002,gplates,101,mid,-62.59,-15.67,scotese,133,mid,-53.9,-11.15,seton,not computable using this model,,,,US,FED,Fitchville,,,Crinoid-bearing strata are medium-bedded (rarely thin-bedded) carbonate mudstones and wackestones with thin shale interbeds and rare very thin-bedded tabular and lenticular chert. Other beds are packstones to grainstones with crossbedding.,lime mudstone,,lithified,,Y,"""shale""",,lithified,,Y,Crinoid-bearing strata are medium-bedded (rarely thin-bedded) carbonate mudstones and wackestones with thin shale interbeds and rare very thin-bedded tabular and lenticular chert. Other beds are packstones to grainstones with crossbedding.,lime mudstone,,lithified,,Y,"""shale""",,lithified,,Y,marine indet.,,,Tournaisian,"W. I. Ausich. 2003. Lower Mississipian crinoid (Echinodermata) fauna from Utah County, Utah. Journal of Paleontology 77(1):139-145",22/07/2004 14:24,22/07/2004 16:24
8502,occ,,,557,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,Arundian,345.3,342.8,Ausich et al.,1979,20120,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Interdistrubitary Mudstone community, Edwardsville Fm.",,,-86.666664,39.75,gplates,101,mid,-49.72,-30.3,scotese,101,mid,-33.08,-16.86,seton,not computable using this model,,,,US,,Edwardsville,,,,siltstone,,,,,,,,,,,siltstone,,,,,,,,,,interdistributary bay,,"""Mudstone/siltstone.  delta platform, interdistributary areas.  BA2""",Visean,"W. I. Ausich, T. W. Kammer, and N. G. Lane. 1979. Fossil communities of the Borden (Mississippi) delta in Indiana and northern Kentucky. Journal of Paleontology 53:1182-1196",14/01/1999 15:00,31/01/2017 20:07
8557,occ,,,558,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Chadian,Arundian,345.3,342.8,Ausich et al.,1979,20120,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Carbonate bank community, Edwardsville Fm.",,,-86.333336,39.25,gplates,101,mid,-50.03,-30.79,scotese,101,mid,-33.11,-17.43,seton,not computable using this model,,,,US,,Edwardsville,,,,sandstone,,,,,,,,,,,sandstone,,,,,,,,,,delta plain,,"""Coarse to fine, poorly sorted crinoidal sands. Delta platform, carbonate bank, bioherms.  BA3""",Visean,"W. I. Ausich, T. W. Kammer, and N. G. Lane. 1979. Fossil communities of the Borden (Mississippi) delta in Indiana and northern Kentucky. Journal of Paleontology 53:1182-1196",14/01/1999 15:00,01/02/2017 18:41
1586887,occ,,,224226,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Mississippian,,358.9,323.2,Ausich et al.,1979,79432,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,Delta slope community - Carwood 22(2),,,-85.899719,38.31778,gplates,101,mid,-49.72,-30.93,scotese,101,mid,-32.72,-16.79,seton,not computable using this model,,,,US,,Carwood,Borden,,"Siltstone and silty shales are the dominant lithologies, and much of these sediments may have been deposited by turbidity currents",siltstone,,,,Y,"""shale""",,,silty,Y,"Siltstone and silty shales are the dominant lithologies, and much of these sediments may have been deposited by turbidity currents",siltstone,,,,Y,"""shale""",,,silty,Y,slope,,delta slope,-,"W.I. Ausich, T.W. Kammer, and NG Lane. 1979. Fossil communities of the Borden (Mississippian) delta in Indiana and northern Kentucky. Journal of Paleontology 53(5):1182-1196",01/02/2022 05:40,01/02/2022 05:40
560895,occ,,,58462,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Tournaisian,,358.9,346.7,Balinski,1999,16590,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Mu-42, Muhua Section",,"Mu-42, Muhua Section, Muhua Fm, Guizhou Province, China",106.383331,25.766666,gplates,611,mid,96.15,-21.33,scotese,611,mid,101.02,-7.64,seton,not computable using this model,,,,CN,,Muhua,,,"""The described ostracode assemblage os from a detrital limestone lense (sample Mu-42) in the upper part of the Muhua Formation.""","""limestone""",lenticular,lithified,,Y,,,,,,"""The described ostracode assemblage os from a detrital limestone lense (sample Mu-42) in the upper part of the Muhua Formation.""","""limestone""",lenticular,lithified,,Y,,,,,,deep subtidal indet.,,"""The ostracode assemblage from sample Mu-42 clearly represents the'Eifelian ecotype' of Becker (in Bandel & Becker 1975). This ecotype is characteristic of high-energy paleoenvironments. The ostracode assemblage from the studied interval is similar in generic composition to marine near-shore to shallow off-shore ostracode assemblages described by Bless (1983) from the Late Devonian-Early Carboniferous of Europe.""",Tournaisian,A. Balinski. 1999. Brachiopods and conodonts from the Early Carboniferous of South China. Acta Palaeontologica Polonica 44(4):437-451,08/02/2006 13:58,08/02/2006 15:58
993364,occ,,,119886,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Wuchiapingian,,259.9,254.17,Binney,1841,38412,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"Newtown, River Irk, Bed 8",,,-2.2348,53.491402,gplates,315,mid,20.7,25.84,scotese,315,mid,14.84,16.31,seton,not computable using this model,,,,UK,,,,,"Dark red laminated marls, occasionally marked by bands and patches of a dirty white.  The upper portion of it, to the depth of a foot, is nearly composed of the casts of shells.",packstone,"planar lamination,red",lithified,argillaceous,,,,,,,"Dark red laminated marls, occasionally marked by bands and patches of a dirty white.  The upper portion of it, to the depth of a foot, is nearly composed of the casts of shells.",packstone,"planar lamination,red",lithified,argillaceous,,,,,,,shallow subtidal indet.,,,Wuchiapingian,E. W. Binney. 1841. Sketch of the geology of Manchester and its vicinity. Transactions of the Manchester Geological Society 1:35-62,03/11/2011 16:48,03/11/2011 00:48
1551514,occ,,,217891,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Virgilian,,303.4,298.9,Boston,1988,75524,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"TXV-32 (FS), near Caddo TX",,AMNH locality 5486\r\nMapes Loc.: Classic Caddo Loc.,-98.644722,32.727779,gplates,101,mid,-31.43,-3.49,scotese,101,mid,-32.82,-5.68,seton,not computable using this model,,,,US,,Graham,Cisco,Finis Shale,,"""shale""",,,,Y,,,,,,,"""shale""",,,,Y,,,,,,marine indet.,,,Gzhelian,"W. Boston. 1988. The surficial geology, paleontology, and paleoecology of the Finis Shale (Pennsylvanian, Lower Virgilian) in Jack County, Texas.",16/03/2021 03:24,16/03/2021 03:24
1551699,occ,,,217913,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Virgilian,,303.4,298.9,Boston,1988,75524,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"TXV-62 (FS), near Jacksboro TX",,AMNH locality 5516,-98.113335,33.261944,gplates,101,mid,-30.77,-3.27,scotese,101,mid,-32.15,-5.49,seton,not computable using this model,,,,US,,Graham,Cisco,Finis Shale,,"""shale""",,,,Y,,,,,,,"""shale""",,,,Y,,,,,,marine indet.,,,Gzhelian,"W. Boston. 1988. The surficial geology, paleontology, and paleoecology of the Finis Shale (Pennsylvanian, Lower Virgilian) in Jack County, Texas.",16/03/2021 05:25,16/03/2021 05:25
1552325,occ,,,217897,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Virgilian,,303.4,298.9,Boston,1988,75524,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"TXV-37 (FS), near Jacksboro TX",,AMNH locality 5491,-98.123055,33.177502,gplates,101,mid,-30.82,-3.34,scotese,101,mid,-32.2,-5.55,seton,not computable using this model,,,,US,,Graham,Cisco,Finis Shale,"2.0-3.45 Covered shale.\r\n0.0-2.0 Weathered shale, light gray with limonitic and calcareous concretions, gray on fresh surface, weathers clayey\r\n","""shale""",,,,Y,,,,,,"2.0-3.45 Covered shale.\r\n0.0-2.0 Weathered shale, light gray with limonitic and calcareous concretions, gray on fresh surface, weathers clayey\r\n","""shale""",,,,Y,,,,,,marine indet.,,,Gzhelian,"W. Boston. 1988. The surficial geology, paleontology, and paleoecology of the Finis Shale (Pennsylvanian, Lower Virgilian) in Jack County, Texas.",22/03/2021 06:32,22/03/2021 06:32
1552438,occ,,,217905,Echinoidea indet.,class,32733,,Echinoidea,,class,168786,Virgilian,,303.4,298.9,Boston,1988,75524,No,Echinodermata,Echinoidea,,,,,high Mg calcite,,,,"TXV-56 (FS), near Jacksboro TX",,AMNH locality 5510\r\nMapes loc.: Ramsey Ranch (oil well pad) = Quigley Ranch,-98.10611,33.186668,gplates,101,mid,-30.8,-3.34,scotese,101,mid,-32.18,-5.55,seton,not computable using this model,,,,US,,Graham,Cisco,Finis Shale,"4.3-5.55 Covered shale interval.\r\n3.0-4.3 Gray shale that weather brown and sandier than lower shales.\r\n1.0-3.0 Gray shales that weather tan-brown with limonitic concretions.\r\n0.0-1.0 Black platy shales, sparingly fossiliferous with phosphate nodules.","""shale""",,,,Y,,,,,,"4.3-5.55 Covered shale interval.\r\n3.0-4.3 Gray shale that weather brown and sandier than lower shales.\r\n1.0-3.0 Gray shales that weather tan-brown with limonitic concretions.\r\n0.0-1.0 Black platy shales, sparingly fossiliferous with phosphate nodules.","""shale""",,,,Y,,,,,,marine indet.,,,Gzhelian,"W. Boston. 1988. The surficial geology, paleontology, and paleoecology of the Finis Shale (Pennsylvanian, Lower Virgilian) in Jack County, Texas.",22/03/2021 06:58,22/03/2021 06:58
